"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"TELLINA SP",NA,NA,NA,"512082706000000","TELLSP","55153102",NA,"G",NA,"LINNAEUS,1758","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TELLINIDAE","MACOMA, TELLEN, AND FAT-TELLEN CLAM UNCL",NA,NA,"512082700000000","TELFAM","551531",NA,"F",NA,"BLAINVILLE,1814","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TEREBELLA LAPIDARIA",NA,NA,NA,"214170510010000","TERLAP","5001682202",NA,"S",NA,"LINNAEUS, 1767",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPHOEROIDES TESTUDINEUS","CHECKERED PUFFER",846,"CHEPUFF",NA,NA,"8861010202",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Sphoeroides testudineus","Checkered Puffer","846",1995-08-09,"BK",NA,NA
"SPHYRAENA BARRACUDA","GREAT BARRACUDA",693,"GRBARR",NA,NA,"8837010104",NA,"S",NA,"(WALBAUM)","AFS-1991",NA,NA,"Sphyraena barracuda","Great Barracuda","693",1995-08-09,"BK",NA,NA
"SPHYRAENA BOREALIS","NORTHERN SENNET",694,"SENNET","823217201040000","SPHBOR","8837010102",NA,"S",NA,"DEKAY","AFS-1991",NA,NA,"Sphyraena borealis","Northern Sennet","694",1995-08-09,"BK",NA,NA
"SPHYRAENA GUACHANCHO","GUAGUANCHE",695,"GUAG",NA,NA,"8837010103",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Sphyraena guachancho","Guaguanche","695",1995-08-09,"BK",NA,NA
"SPHYRAENA SP","BARRACUDA UNCL",620,"BARRU","823217201000000","SPHYSP","88370101",NA,"G",NA,NA,"AFS-1991",NA,"SINGLE GENUS IN AREA |SV: CHANGED FAMILY TO SINGLE GENUS","Sphyraenidae sp","Barracuda Uncl","620",1998-12-31 23:00:00,"FPA",NA,NA
"SPHYRNA LEWINI","SCALLOPED HAMMERHEAD SHARK",362,"SCALHAMM",NA,NA,"8708030103",NA,"S",NA,"(GRIFFITH AND SMITH, 1834)","AFS-1991",NA,NA,"Sphyrna lewini","Scalloped Hammerhead","362",1995-08-09,"BK",NA,NA
"SPHYRNA MEDIA","SCOOPHEAD SHARK",937,"MEDIA",NA,NA,"8708030108",NA,"S",NA,"SPRINGER, 1940",NA,NA,"|SV: SOUTH AMER. SP., CHECK LOGS AND RECODE IF POSS.","Sphyrna media","Sphyrna Media","937",1995-08-09,"BK",NA,NA
"SPHYRNA MOKARRAN","GREAT HAMMERHEAD SHARK",363,"GREHAMM",NA,NA,"8708030104",NA,"S",NA,"(RUPPELL, 1837)","AFS-1991",NA,NA,"Sphyrna mokarran","Great Hammerhead","363",1995-08-09,"BK",NA,NA
"SPHYRNA TIBURO","BONNETHEAD SHARK",364,"BONNET",NA,NA,"8708030101",NA,"S",NA,"(LINNAEUS, 1758)","AFS-1991",NA,NA,"Sphyrna tiburo","Bonnethead","364",1995-08-09,"BK",NA,NA
"SPHYRNA TUDES","SMALLEYE HAMMERHEAD SHARK",365,"SMAHAMM",NA,NA,"8708030105",NA,"S",NA,"(VALENCIENNES, 1822)",NA,NA,"|SV: NOT IN US WATERS AFS-80, CHECK LOGS AND RECODE","Sphyrna tudes","Smalleye Hammerhead","365",1995-08-09,"BK",NA,NA
"SPHYRNA ZYGAENA","SMOOTH HAMMERHEAD SHARK",366,"SMOHAMM",NA,NA,"8708030102",NA,"S",NA,"(LINNAEUS, 1758)","AFS-1991",NA,NA,"Sphyrna zygaena","Smooth Hammerhead","366",1995-08-09,"BK",NA,NA
"SPIO FILICORNIS",NA,NA,NA,"214150813010000","SPIFIL","5001430701",NA,"S",NA,"(MUELLER, 1776)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIO SETOSA",NA,NA,NA,"214150813040000","SPISET","5001430704",NA,"S",NA,"VERRILL",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIO SP",NA,NA,NA,"214150813000000","SPIOSP","50014307",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIONIDA",NA,NA,NA,"214150000000000","SPIONI","NONE",NA,NA,NA,NA,"RUPPERT AND FOX 1988",NA,"NODC LACKS THIS POLYCHAET ORDER",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIONIDAE",NA,NA,NA,"214150800000000","SPIFAM","500143",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIOPHANES BOMBYX",NA,NA,NA,"214150814010000","SPIBOM","5001431001",NA,"S",NA,"(CLAPAREDE, 1870)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIOPHANES SP",NA,NA,NA,"214150814000000","SPIOS1","50014310",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIRONTOCARIS LILJEBORGII","FRIENDLY BLADE SHRIMP",295,NA,"411021407010000","SPILIL","6179160208",NA,"S",NA,"(DANIELSSEN, 1859)","AFS-1989",NA,NA,"Spirontocaris liljeborgii","Friendly Blade Shrimp","295",1995-08-09,"BK",NA,NA
"SPIRONTOCARIS PHIPPSII","PUNCTATE BLADE SHRIMP",285,NA,"411021407020000","SPIPHI","6179160205",NA,"S",NA,"(KROYER, 1841)","AFS-1989",NA,NA,"Spirontocaris phippsii","Punctate Blade Shrimp","285",1995-08-09,"BK",NA,NA
"SPIRONTOCARIS SP",NA,NA,NA,"411021407000000","SPIRSP","61791602",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPIRONTOCARIS SPINUS","PARROT SHRIMP",286,NA,"411021407030000","SPIRS1","6179160216",NA,"S",NA,"(SOWERBY, 1805)","AFS-1989",NA,"CORRECTED TYPO IN NAME","Spirontocaris spinus","Parrot Shrimp","286",1994-12-27 23:00:00,"RAR",NA,NA
"SPIRORBIS SP",NA,NA,NA,"214130501000000","SPIRS2","50017305",NA,"G",NA,"DAUDIN,1800",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SPISULA SOLIDISSIMA","ATLANTIC SURFCLAM",403,"SURFCLAM","512081906020000","SPISOL","5515250102",NA,"S",NA,"(DILLWYN,1817)","AFS-1988",NA,"|SV: NAME CHANGED TO CONFORM TO FCDI PREY NAMES","Spisula solidissima (live)","Surf Clam (Live)","403",1995-08-09,"BK",NA,NA
"SPISULA SOLIDISSIMA CLAPPER","ATLANTIC SURFCLAM CLAPPER",406,"SURFCLAM",NA,NA,"NONE",NA,NA,NA,NA,"RSI-1996",NA,"SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Spisula solidissima (clapper)","Surf Clam (Clapper)","406",1995-08-09,"BK",NA,NA
"SQUALUS ACANTHIAS","SPINY DOGFISH",15,"SPDOG","822031507010000","SQUACA","8710010201",NA,"S",NA,"SMITH AND RADCLIFF, 1912","AFS-1991",NA,NA,"Squalus acanthias","Spiny Dogfish","015",1995-08-09,"BK",NA,NA
"SQUATINA DUMERIL","ATLANTIC ANGEL SHARK",16,"ANGELSH",NA,NA,"8711010102",NA,"S",NA,"LESUEUR, 1818","AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1990","Squatina dumerili","Atlantic Angel Shark","016",1995-08-09,"BK",NA,NA
"SQUILLA EMPUSA",NA,NA,NA,"411110405090000","SQUEMP","6191010101",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SQUILLA NEGLECTA",NA,NA,NA,"411110405140000","SQUNEG","6191010103",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SQUILLA SP",NA,NA,NA,"411110405000000","SQUISP","61910101",NA,"G",NA,"FABRICIUS,1793",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STEGOCEPHALUS INFLATUS",NA,NA,NA,"411012802010000","STEINF","6169470701",NA,"S",NA,"KROYER, 1842",NA,NA,"SINGLE SP. IN FAMILY IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STELLEROIDEA","SEA STAR, BRITTLE STAR, AND BASKETSTAR UNCL",332,"STARFISU",NA,NA,"8101",NA,"C",NA,NA,"BARNS 1987",NA,"|SV: IF INCLUDES BRITTLE STARS, ELSE ASTEROIDEA","Asteriidae sp","Starfish Uncl","332",1999-03-08 14:18:13,"FPA",NA,NA
"STELLIFER LANCEOLATUS","STAR DRUM",655,"STARDRUM",NA,NA,"8835441001",NA,"S",NA,"(HOLBROOK)","AFS-1991",NA,NA,"Stellifer lanceolatus","Star Drum","655",1995-08-09,"BK",NA,NA
"STENOCIONOPS FURCATUS","FURCATE SPIDER CRAB",NA,NA,"411021809010000","STEFUR","6187012401",NA,"S",NA,"(OLIVER, 1791)","AFS-1989",NA,"FH TYPE FIXED",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOPLEUSTES GRACILIS",NA,NA,NA,"411012504010000","STEGRA","6169430609",NA,"S",NA,"HOLMES, 1905",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOPLEUSTES INERMIS",NA,NA,NA,"411012504020000","STEINE","6169430610",NA,"S",NA,"SHOEMAKER, 1949",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOPLEUSTES SP",NA,NA,NA,"411012504000000","STENSP","61694306",NA,"G",NA,"SARS, 1895",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOTHOE MINUTA",NA,NA,NA,"411012902020000","STEMIN","6169481002",NA,"S",NA,"HOLMES, 1905",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOTHOE SP",NA,NA,NA,"411012902000000","STENS1","61694810",NA,"G",NA,"DANA, 1852",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOTHOIDAE",NA,NA,NA,"411012900000000","STEFAM","616948",NA,"F",NA,"CHEVREUX",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENOTOMUS CHRYSOPS","SCUP",143,"SCUP","823217106020000","STECHR","8835430101",NA,"S",NA,"LINNAEUS","AFS-1991",NA,"|SV: SEE CODE 642","Stenotomus chrysops","Scup","143",1995-08-09,"BK",NA,NA
"STENOTOMUS CAPRINUS","SCUP",642,"--DNU--","823217106020000","STECHR","8835430101",NA,"S",NA,"LINNAEUS","AFS-1991",NA,"|SV: SUBSPECIES OF SCUP OFTEN MISCLASSIFIED 1973-80, CHECK LOGS & RECODE TO 143","Stenotomus caprinus. . . . . .dnu","Longspine Porgy","642",2002-06-18 13:31:16,"FALMEIDA",NA,NA
"STENOTOMUS SP",NA,NA,NA,"823217106000000","STENS2","88354301",NA,"G",NA,NA,"AFS-1991",NA,"MOSTLY S. CHRYSOPS, TAXON CONFUSION",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STENULA SP",NA,NA,NA,"411012906010000","STENS3","61694812",NA,"G",NA,"J. L. BARNARD, 1962",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STEREODERMA UNISEMITA",NA,NA,NA,"615030105030000","STEUNI","8172060701",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STERNASPIS SCUTATA",NA,NA,NA,"214160101010000","STESCU","5001590101",NA,"S",NA,NA,NA,NA,"SINGLE SP. IN FAMILY IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STERNOPTYCHIDAE","HATCHETFISH UNCL",252,"HATCHU",NA,NA,"875902",NA,"F",NA,NA,"SCOTT&SCOTT-169",NA,NA,"Sternoptychidae sp","Hatchetfish Uncl","252",1998-12-31 23:00:00,"FPA",NA,NA
"STHENELAIS BOA",NA,NA,NA,"214112307020000","STHBOA","5001060302",NA,"S",NA,"(JOHNSTON)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STHENELAIS LIMICOLA",NA,NA,NA,"214112307030000","STHLIM","5001060303",NA,"S",NA,"EHLERS",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STHENELAIS SP",NA,NA,NA,"214112307000000","STHESP","50010603",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"STOMATOPODA","MANTIS SHRIMP UNCL",323,NA,"411110000000000","STOMAT","6191",NA,"O",NA,NA,"BARNS 1987",NA,"|SV: CORRECTED TO TAXONOMIC GROUP","Stomatopod sp","Mantis Shrimp","323",1998-12-31 23:00:00,"FPA",NA,NA
"STOMIAS BOA","BOA DRAGONFISH",228,"BOADRA","823190101010000","STOBOA","8759070205",NA,"S",NA,"(RISSO, 1810)","MORROW 1964","MORROW 1964 FWNA 4:297, FIG. 75","S. BOA FEROX IS SUBSPECIES","Stomias ferox","Boa Dragonfish","228",1995-08-09,"BK",NA,NA
"STOMIIDAE","SCALY DRAGONFISH UNCL",248,"DRAGONU",NA,NA,"875907",NA,"F",NA,NA,"AFS-1991",NA,"|SV: FAMILY REVISIONS AFS-90","Stomiatidae sp","Scaly Dragonfish Uncl","248",1998-12-31 23:00:00,"FPA",NA,NA
"SCYLLARIDES NODIFER","RIDGED SLIPPER LOBSTER",302,"SLIPLOB",NA,NA,"6182020202",NA,"S",NA,"(STIMPSON, 1866)","AFS-1989",NA,NA,"Scyllarides nodifer","Ridged Slipper Lobster","302",1995-08-09,"BK",NA,NA
"SCYLLARUS SP",NA,NA,NA,"411023902000000","SCYLSP","61820201",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCYPHOZOA","TRUE JELLYFISH UNCL",NA,NA,"053000000000000","SCYPHO","3730",NA,"C",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SEBASTES FASCIATUS","ACADIAN REDFISH",155,"REDFISH","823216706300000","SEBFAS","8826010169",NA,"S",NA,"STORER, 1854","AFS-1991",NA,NA,"Sebastes fasciatus","Acadian Redfish","155",1995-08-09,"BK",NA,NA
"SELAR CRUMENOPHTHALMUS","BIGEYE SCAD",209,"BIGSCAD",NA,NA,"8835280601",NA,"S",NA,"(BLOCH)","AFS-1991",NA,"FH TYPO CORRECTED","Selar crumenopthalmus","Bigeye Scad","209",1995-08-09,"BK",NA,NA
"SALPA FUSIFORMIS",NA,NA,NA,"763030105020000","SALFUS","8411010301",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SALPIDAE",NA,NA,NA,"763030100000000","SALFAM","841101",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SAND","SAND OR MUD",NA,NA,"931020101020000","SAND","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE FOR SAND IN STOMACH",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SARDA ORIENTALIS","STRIPED BONITO",938,"STBONITO",NA,NA,"8850030203",NA,"S",NA,"(TEMMINCH AND SCHLEGEL)",NA,NA,"|SV: CHEKC LOGS, SP NOT IN US WATERS","Sarda orientalis","Striped Bonito","938",1995-08-09,"BK",NA,NA
"SARDA SARDA","ATLANTIC BONITO",123,"BONITO",NA,NA,"8850030202",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Sarda sarda","Atlantic Bonito","123",1995-08-09,"BK",NA,NA
"SARDINELLA AURITA","SPANISH SARDINE",429,"SPASARD","823080607010000","SARAUR","8747011001",NA,"S",NA,"VALENCIENNES, 1847","AFS-1991",NA,"|SV: NAME CHANGE AFS-1980","Sardinella anchovia","Spanish Sardine","429",1995-08-09,"BK",NA,NA
"SARSONUPHIS QUADRICUSPIS",NA,NA,NA,"214050908010000","SARQUA","5001291304",NA,"S",NA,NA,"FAUCHALD",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SAURIDA BRASILIENSIS","LARGESCALE LIZARDFISH",433,"LARLIZ",NA,NA,"8762020301",NA,"S",NA,"NORMAN","AFS-1991",NA,NA,"Saurida brasiliensis","Largescale Lizardfish","433",1995-08-09,"BK",NA,NA
"SAURIDA NORMANI","SHORTJAW LIZARDFISH",434,"SHOLIZ",NA,NA,"8762020303",NA,"S",NA,"LONGLEY","AFS-1991",NA,NA,"Saurida normani","Shortjaw Lizardfish","434",1995-08-09,"BK",NA,NA
"SCALIBREGMA INFLATUM",NA,NA,NA,"214080203010000","SCAINF","5001570101",NA,"S",NA,"RATHKE",NA,NA,"MOST COMMON SP., POSS. ID CONFUSION",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCAPHANDER PUNCTOSTRIATUS","GIANT CANOE BUBBLE",NA,NA,"514050803020000","SCAPUN","5110040302",NA,"S",NA,"(MIGHELS,1841)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCAPHOPODA","TUSKSHELL AND TOOTHSHELL UNCL",NA,NA,"513000000000000","SCAPHO","56",NA,"C",NA,"BRONN,1862","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCARIDAE","PARROTFISH UNCL",688,"PARRU","823216300000000","SCAFAM","883903",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Scaridae sp","Parrotfish Uncl","688",1998-12-31 23:00:00,"FPA",NA,NA
"SCARUS COERULEUS","BLUE PARROTFISH",686,"BLUPARR",NA,NA,"8839030101",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Scarus coeruleus","Blue Parrotfish","686",1995-08-09,"BK",NA,NA
"SCHIZASTERIDAE",NA,NA,NA,"612060600000000","SCHFAM","816204",NA,"F",NA,"LAMBERT, 1905",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCHULTZEA BETA","SCHOOL BASS",523,"SCHOOL",NA,NA,"8835022101",NA,"S",NA,"HILDEBRAND","AFS-1991",NA,NA,"Schultzea beta","School Bass","523",1995-08-09,"BK",NA,NA
"SCIAENIDAE","DRUM UNCL",858,"DRUMU","823216400000000","SCIFAM","883544",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Sciaenidae sp","Drum Uncl","858",1998-12-31 23:00:00,"FPA",NA,NA
"SCIAENOPS OCELLATUS","RED DRUM",654,"REDDRUM",NA,NA,"8835440901",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1980","Sciaenops ocellata","Red Drum","654",1995-08-09,"BK",NA,NA
"SCLEROCRANGON BOREAS","SCULPTURED SHRIMP",NA,NA,"411020505020000","SCLBOR","6179220201",NA,"S",NA,"(PHIPPS, 1774)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLECOLEPIDES SP",NA,NA,NA,"214150811000000","SCOLSP","50014306",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLELEPIS SP",NA,NA,NA,"214150812000000","SCOLS1","50014320",NA,"G",NA,"BLAINVILLE,1828",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLELEPIS SQUAMATA",NA,NA,NA,"214150812010000","SCOSQU","5001432001",NA,NA,NA,NA,NA,NA,"|NODC: ERROR AS S. SQUAMATUS",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLOPLOS ACUTUS",NA,NA,NA,"214090103010000","SCOACU","5001400305",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLOPLOS FRAGILIS",NA,NA,NA,"214090103030000","SCOFRA","5001400303",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOLOPLOS SP",NA,NA,NA,"214090103000000","SCOLS2","50014003",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOMBER JAPONICUS","CHUB MACKEREL",124,"CHUBMAC",NA,NA,"8850030301",NA,"S",NA,"HOUTTUYN","AFS-1991",NA,NA,"Scomber japonicus","Chub Mackerel","124",1995-08-09,"BK",NA,NA
"SCOMBER SCOMBRUS","ATLANTIC MACKEREL",121,"MACK","823216506030000","SCOSCO","8850030302",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Scomber scombrus","Atlantic Mackerel","121",1995-08-09,"BK",NA,NA
"SCOMBER SP",NA,NA,NA,"823216506000000","SCOMSP","88500303",NA,"G",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCOMBERESOX SAURUS","ATLANTIC SAURY",205,"SAURY","823060402010000","SCOSAU","8803030201",NA,"S",NA,"(WALBAUM)","AFS-1991",NA,NA,"Scomberesox saurus","Atlantic Saury","205",1995-08-09,"BK",NA,NA
"SCOMBEROMORUS CAVALLA","KING MACKEREL",744,"KINGMACK",NA,NA,"8850030501",NA,"S",NA,"(CUVIER)","AFS-1991",NA,NA,"Scomberomorus cavalla","King Mackerel","744",1995-08-09,"BK",NA,NA
"SCOMBEROMORUS MACULATUS","SPANISH MACKEREL",745,"SPANMACK",NA,NA,"8850030502",NA,"S",NA,"(MITCHILL)","AFS-1991",NA,NA,"Scomberomorus maculatus","Spanish Mackerel","745",1995-08-09,"BK",NA,NA
"SCOMBEROMORUS REGALIS","CERO",746,"CERO",NA,NA,"8850030503",NA,"S",NA,"(BLOCH)","AFS-1991",NA,"|SV: CORRECTED KEYPUNCH ERROR","Scomberomorus sierra","Cero","746",1995-08-09,"BK",NA,NA
"SCOMBRIDAE","MACKEREL AND TUNA UNCL",860,"MACKU","823216500000000","SCOFAM","885003",NA,"F",NA,NA,"AFS-1991",NA,"|SV: CORRECTED COMMON NAME TO AFS STANDARD","Scombridae sp","Mackerel Tuna Uncl","860",1998-12-31 23:00:00,"FPA",NA,NA
"SCOPHTHALMUS AQUOSUS","WINDOWPANE",108,"WINDOW","823230112010000","SCOAQU","8857030401",NA,"S",NA,"(MITCHILL)","AFS-1991",NA,"MONOTYPIC GENUS IN AREA","Scophthalmus aquosus","Windowpane","108",1995-08-09,"BK",NA,NA
"SCOPHTHALMUS AQUOSUS LARVAE","WINDOWPANE LARVAE",NA,NA,"823230112010200","SCOAQ1","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCORPAENA AGASSIZI","LONGFIN SCORPIONFISH",753,"FINSCOR",NA,NA,"8826010601",NA,"S",NA,"GOODE AND BEAN","AFS-1991",NA,NA,"Scorpaena agassizi","Longfin Scorpionfish","753",1995-08-09,"BK",NA,NA
"SCORPAENA BRASILIENSIS","BARBFISH",754,"BARB",NA,NA,"8826010605",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Scorpaena brasiliensis","Barbfish","754",1995-08-09,"BK",NA,NA
"SCORPAENA CALCARATA","SMOOTHHEAD SCORPIONFISH",755,"SMOSCOR",NA,NA,"8826010606",NA,"S",NA,"GOODE AND BEAN","AFS-1991",NA,NA,"Scorpaena calcarata","Smoothhead Scorpionfish","755",1995-08-09,"BK",NA,NA
"SCORPAENA DISPAR","HUNCHBACK SCORPIONFISH",756,"HUNSCOR",NA,NA,"8826010607",NA,"S",NA,"LONGLEY AND HILDEBRAND","AFS-1991",NA,NA,"Scorpaena dispar","Hunchback Scorpionfish","756",1995-08-09,"BK",NA,NA
"SCORPAENA GRANDICORNIS","PLUMED SCORPIONFISH",757,"PLUSCOR",NA,NA,"8826010609",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Scorpaena grandicornis","Plumed Scorpionfish","757",1995-08-09,"BK",NA,NA
"SCORPAENA PLUMIERI","SPOTTED SCORPIONFISH",758,"SPOSCOR",NA,NA,"8826010614",NA,"S",NA,"BLOCH","AFS-1991",NA,NA,"Scorpaena plumieri","Spotted Scorpionfish","758",1995-08-09,"BK",NA,NA
"SCORPAENIDAE","SCORPIONFISH AND ROCKFISH UNCL",759,"SCORU","823216700000000",NA,"882601",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Scorpaenidae sp","Scorpionfish Uncl","759",1999-03-08 14:27:54,"JM",NA,NA
"ECHINARACHNIIDAE",NA,NA,NA,"612040100000000","SCUFAM","815502",NA,"F",NA,NA,"NODC",NA,"COULD NOT VERIFY SCUTELLIDAE, USED NODC FAMILY",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCYLIORHINUS RETIFER","CHAIN DOGFISH",14,"CHDOG",NA,NA,"8708010304",NA,"S",NA,"(GARMAN, 1881)","AFS-1991",NA,NA,"Scyliorhinus retifer","Chain Dogfish","014",1995-08-09,"BK",NA,NA
"SCYLLARIDAE","SLIPPER LOBSTER UNCL",NA,NA,"411023900000000","SCYFAM","618202",NA,"F",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SCYLLARIDES AEQUINOCTIALIS","SPANISH SLIPPER LOBSTER",303,NA,NA,NA,"6182020203",NA,"S",NA,"(LUND, 1793)","AFS-1989",NA,NA,"Scyllarides aequinoctialis","Spanish Slipper Lobster","303",1995-08-09,"BK",NA,NA
"PSEUDOHAUSTORIUS SP",NA,NA,NA,"411011310000000","PSEUS1","61692213",NA,"G",NA,"BOUSFIELD, 1965",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOLEPTOCUMA MINOR",NA,NA,NA,"411040103010000","PSEMIN","6154090301",NA,"S",NA,NA,NA,NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOMMA AFFINE",NA,NA,NA,"411060313010000","PSEAFF","6153011935",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDOMMA SP",NA,NA,NA,"411060313000000","PSEUS2","61530119",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDUNCIOLA OBLIQUUA",NA,NA,NA,"411011006010000","PSEOBL","6169150801",NA,"S",NA,"SHOEMAKER, 1949",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDUNCIOLA SP",NA,NA,NA,"411011006000000","PSEUS3","61691508",NA,"G",NA,"BOUSFIELD, 1973",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"PSEUDUPENEUS MACULATUS","SPOTTED GOATFISH",656,"SPOGOAT",NA,NA,"8835450301",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Pseudupeneus maculatus","Spotted Goatfish","656",1995-08-09,"BK",NA,NA
